ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	castingStat	choices	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
3e03f70	ce7ee03	9bd423c78df690360d2ced5046ebdf78	3aa08164	Forest Gnome	Sage	2020-11-08T04:57:28Z	Wizard 4	Wizard	School of Evocation	4	Fade Away	32	19	10	17	16	17	12	10		Arcana|History|Investigation|Insight	Quarterstaff		Int		United States	US		NA	NA	Gnome		Quarterstaff	4-7	musing_ptolemy
	c18bdf4	f11203ed469352fa27a5b3cd87fd3d02	4e0ad948	Wood Elf	Noble	2020-11-07T00:49:38Z	Cleric 4|Druid 4	Cleric|Druid	Nature Domain|Circle of the Moon	8	Crossbow Expert	64	16	8	16	12	13	18	10		History|Nature|Religion|Insight|Perception|Persuasion	Mace|Crossbow, light	Produce Flame*0|Infestation*0|Thorn Whip*0|Sacred Flame*0|Toll The Dead*0|Animal Friendship*1|Speak with Animals*1|Healing Word*1|Ice Knife*1|Guiding Bolt*1|Bless*1|Shield Of Faith*1|Barkskin*2|Spike Growth*2|Hold Person*2|Enhance Ability*2|Locate Object*2|Spiritual Weapon*2	Wis		Canada	CA		NA	NA	Elf	Produce Flame*0|Infestation*0|Thorn Whip*0|Sacred Flame*0|Toll the Dead*0|Animal Friendship*1|Speak with Animals*1|Healing Word*1|Ice Knife*1|Guiding Bolt*1|Bless*1|Shield of Faith*1|Barkskin*2|Spike Growth*2|Hold Person*2|Enhance Ability*2|Locate Object*2|Spiritual Weapon*2	Mace|Crossbow, Light	8-11	hopeful_galois
	c18bdf4	f208eab28a78733a6d8576288dc07608	4599bca4	Half-Elf	Noble	2020-11-07T00:49:06Z	Warlock 8	Warlock	The Archfey	8		80	14	8	16	16	12	10	18		History|Investigation|Nature|Religion|Deception|Persuasion	Crossbow, light|Dagger	Eldritch Blast*0|Poison Spray*0|Thunderclap*0|Witch Bolt*1|Faerie Fire*1|Sleep*1|Find Familiar*1|Calm Emotions*2|Phantasmal Force*2|Misty Step*2|Blink*3|Plant Growth*3|Summon Lesser Demons*3|Dominate Beast*4|Greater Invisibility*4|Blight*4|Dimension Door*4	Cha	pact boon/Pact of the Chain|eldritch invocations/Armor of Shadows*Agonizing Blast*Maddening Hex*Cloak of Flies	Canada	CA		NA	NA	Half-Elf	Eldritch Blast*0|Poison Spray*0|Thunderclap*0|Witch Bolt*1|Faerie Fire*1|Sleep*1|Find Familiar*1|Calm Emotions*2|Phantasmal Force*2|Misty Step*2|Blink*3|Plant Growth*3|Summon Lesser Demons*3|Dominate Beast*4|Greater Invisibility*4|Blight*4|Dimension Door*4	Crossbow, Light|Dagger	8-11	jovial_lichterman
7e92cf6	94bc9ab	26926b36d392aca86494ad426df614ac	083eee89	Human	Sage	2020-11-07T00:09:00Z	Artificer 9	Artificer	Artillerist	9	War Caster	66	20	8	14	14	20	12	10		Sleight of Hand|Arcana|History|Investigation|Perception	Dagger|Quarterstaff|Crossbow, light|Ray Of Frost	Mending*0|Ray Of Frost*0|Shield*1|Thunderwave*1|Cure Wounds*1|Detect Magic*1|Faerie Fire*1|Sanctuary*1|Scorching Ray*2|Shatter*2|Blur*2|Restoration*2|Fireball*3|Wind Wall*3	Int		United States	US		NA	NA	Human	Mending*0|Ray of Frost*0|Shield*1|Thunderwave*1|Cure Wounds*1|Detect Magic*1|Faerie Fire*1|Sanctuary*1|Scorching Ray*2|Shatter*2|Blur*2|*|Fireball*3|Wind Wall*3	Dagger|Quarterstaff|Crossbow, Light|	8-11	clever_brahmagupta
596751a	3ad58cf	7a97028e91c6d2ee792cadb39f301ec6	9e6103b7	Turtle	Urban Bounty Hunter	2020-11-06T22:28:55Z	Monk 7	Monk	Way of the Four Elements	7		52	20	12	18	15	12	16	8		Acrobatics|Stealth|History|Insight|Survival	Quarterstaff|Dart|Unarmed Strike|Katana +1		Int	elemental disciplines/Fangs of the Fire Snake	NA	NA		NA	NA	Turtle		Quarterstaff|Dart|Unarmed Strike|	4-7	magical_feynman
596751a	3ad58cf	b8c91c20743041aff932eff3a92be523	412ab662	Water Genasi	Sailor	2020-11-06T22:26:38Z	Rogue 7	Rogue	Swashbuckler	7		52	14	10	18	14	10	11	16		Athletics|Acrobatics|Stealth|Perception|Deception|Persuasion	Sun Blade|Crossbow, Hand		Int	expertise/Thieves' Tools*Acrobatics*Stealth*Persuasion	NA	NA		NA	NA	Genasi		|Crossbow, hand	4-7	happy_ride
596751a	3ad58cf	2c86d64468dcc163550598d185e5e9ce	c685d028	Half-Orc	Outlander	2020-11-06T22:24:16Z	Barbarian 7	Barbarian	Path of the Berserker	7		75	14	18	12	16	10	10	11		Athletics|Animal Handling|Perception|Survival|Intimidation	Greataxe +1|Javelin|Spear		Int		NA	NA		NA	NA	Half-Orc		Greataxe|Javelin|Spear	4-7	sweet_borg
596751a	3ad58cf	8ccce64dd99c8c587d3f2bfd3f7a3c5c	7d6c91d0	Human	Outlander	2020-11-06T22:22:08Z	Barbarian 7	Barbarian	Path of the Ancestral Guardian	7		68	15	16	16	15	13	11	9		Athletics|Perception|Survival|Intimidation	Greatsword|Handaxe|Javelin		Int		NA	NA		NA	NA	Human		Greatsword|Handaxe|Javelin	4-7	laughing_blackburn
596751a	3ad58cf	4e6701786966cd1b94065eee85e5b5a2	386d70e5	Human	Acolyte	2020-11-06T17:45:05Z	Monk 7	Monk	Way of the Kensei	7		52	16	11	18	14	12	15	10		Acrobatics|Stealth|Religion|Insight	Unarmed Strike|Longsword|Longbow		Int		NA	NA		NA	NA	Human		Unarmed Strike|Longsword|Longbow	4-7	hopeful_lalande
c94a7cf	2afcb68	d4566dc5977da945ec0798e55451f94c	29bbca23	Human	Acolyte	2020-11-05T18:59:35Z	Paladin 3	Paladin	Oath of Vengeance	3	Polearm Master	31	17	16	8	16	8	10	14		Athletics|Religion|Insight|Intimidation|Persuasion	Halberd	Bane*1|Hunter�s Mark*1	Cha	fighting style/Defense	Germany	DE		NA	NA	Human	Bane*1|Hunter's Mark*1	Halberd	1-3	happy_mestorf
